x,y,z,roll,pitch,yaw
0,0,-5,0,0,0
0.8,0,-5,7.2,0,0
1.6,0,-5,14.4,0,0
2.4,0,-5,21.6,0,0
3.2,0,-5,28.8,0,0
4,0,-5,36,0,0
4.8,0,-5,43.2,0,0
5.6,0,-5,39.6,0,0
6.4,0,-5,32.4,0,0
7.2,0,-5,25.2,0,0
8,0,-5,18,0,0
8.8,0,-5,10.8,0,0
9.6,0,-5,3.6,0,0
10,0.4,-5,0,-3.6,0.4
10,1.2,-5,0,-10.8,1.2
10,2,-5,0,-18,2
10,2.8,-5,0,-25.2,2.8
10,3.6,-5,0,-32.4,3.6
10,4.4,-5,0,-39.6,4.4
10,5.2,-5,0,-43.2,5.2
10,6,-5,0,-36,6
10,6.8,-5,0,-28.8,6.8
10,7.6,-5,0,-21.6,7.6
10,8.4,-5,0,-14.4,8.4
10,9.2,-5,0,-7.2,9.2
10,10,-5,-1.42109e-14,1.42109e-14,10
9.2,10,-5,-3.2,3.2,10
8.4,10,-5,-6.4,6.4,10
7.6,10,-5,-9.6,9.6,10
6.8,10,-5,-12.8,12.8,10
6,10,-5,-16,16,10
5.2,10,-5,-19.2,19.2,10
4.4,10,-5,-17.6,17.6,10
3.6,10,-5,-14.4,14.4,10
2.8,10,-5,-11.2,11.2,10
2,10,-5,-8,8,10
1.2,10,-5,-4.8,4.8,10
0.4,10,-5,-1.6,1.6,10
0,9.6,-5,1.6,-1.6,9.6
0,8.8,-5,4.8,-4.8,8.8
0,8,-5,8,-8,8
0,7.2,-5,11.2,-11.2,7.2
0,6.4,-5,14.4,-14.4,6.4
0,5.6,-5,17.6,-17.6,5.6
0,4.8,-5,19.2,-19.2,4.8
0,4,-5,16,-16,4
0,3.2,-5,12.8,-12.8,3.2
0,2.4,-5,9.6,-9.6,2.4
0,1.6,-5,6.4,-6.4,1.6
0,0.8,-5,3.2,-3.2,0.8
